Date,7exp
8/30/18,1196.275453
8/31/18,1201.468876
2009/3/18,1199.051603
2009/4/18,1189.78
2009/5/18,1195.678842
2009/6/18,1204.198207
2009/7/18,1197.900398
2009/10/18,1195.584127
2009/11/18,1188.782673
2009/12/18,1194.580237
9/13/18,1208.89428
9/14/18,1200.984252
9/17/18,1200.935756
9/18/18,1199.224314
9/19/18,1202.350489
9/20/18,1207.441797
9/21/18,1197.718324
9/24/18,1201.801751
9/25/18,1200.94699
9/26/18,1193.239535
9/27/18,1184.323017
9/28/18,1186.189382
2010/1/18,1188.307611
2010/2/18,1203.777692
2010/3/18,1200.252591
2010/4/18,1202.521648
2010/5/18,1202.876099
2010/8/18,1185.899237
2010/9/18,1184.490571
2010/10/18,1187.565779
2010/11/18,1204.646395
2010/12/18,1218.955682
10/15/18,1229.23431
10/16/18,1229.991321
10/17/18,1228.330226
10/18/18,1222.23609
10/19/18,1227.123921
10/22/18,1221.533708
10/23/18,1235.287196
10/24/18,1229.848134
10/25/18,1230.101304
10/26/18,1233.175279
10/29/18,1230.103896
10/30/18,1224.665185
10/31/18,1214.139279
2011/1/18,1230.460332
2011/2/18,1231.4186
2011/5/18,1231.570956
2011/6/18,1230.917431
2011/7/18,1229.256593
2011/8/18,1223.415448
2011/9/18,1210.573723
2011/12/18,1204.682605
11/13/18,1201.209091
11/14/18,1202.369056
11/15/18,1211.032971
11/16/18,1221.660759
11/19/18,1220.856318
11/20/18,1222.267748
11/21/18,1225.391367
11/22/18,1226.349461
11/23/18,1222.926344
11/26/18,1222.67585
11/27/18,1220.461429
11/28/18,1212.456061
11/29/18,1225.55
11/30/18,1216.789432
2012/3/18,1229.631206
2012/4/18,1239.703186
2012/5/18,1235.273145
2012/6/18,1241.971164
2012/7/18,1242.727465
2012/10/18,1244.792882
2012/11/18,1244.743509
2012/12/18,1245.197636
12/13/18,1242.177622
12/14/18,1234.726963
12/17/18,1241.071951
12/18/18,1245.755304
12/19/18,1254.516667
12/20/18,1259.300433
12/21/18,1257.690138
12/24/18,1262.649957
12/27/18,1267.609655
12/28/18,1278.686059
12/31/18,1280.65
2001/2/19,1282.613894
2001/3/19,1290.216096
2001/4/19,1279.594359
2001/7/19,1291.97884
2001/8/19,1286.190034
2001/9/19,1288.355102
2001/10/19,1291.677929
2001/11/19,1288.708305
1/14/19,1292.534433
1/15/19,1294.195946
1/16/19,1292.082125
1/17/19,1290.471717
1/18/19,1283.928403
1/21/19,1279.247651
1/22/19,1281.815243
1/23/19,1279.500334
1/24/19,1283.426878
1/25/19,1293.695333
1/28/19,1302.000582
1/29/19,1307.436711
